index,Test_Time(s),,Step_Time(s),Cycle_Index,Step_Index,Voltage,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,Current,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,Charge_Capacity,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,Discharge_Capacity,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index
12,1560.004,,1560.0039,1,1,3.58081007003784,1560.004,1560.0039,1,1,0,1560.004,1560.0039,1,1,0,1560.004,1560.0039,1,1,0,1560.004,1560.0039,1,1
13,1680.0052,,1680.0051,1,1,3.58075571060181,1680.0052,1680.0051,1,1,0,1680.0052,1680.0051,1,1,0,1680.0052,1680.0051,1,1,0,1680.0052,1680.0051,1,1
14,1800.004,,1800.0039,1,1,3.58082056045532,1800.004,1800.0039,1,1,0,1800.004,1800.0039,1,1,0,1800.004,1800.0039,1,1,0,1800.004,1800.0039,1,1
15,1920.0024,,1920.0023,1,1,3.58083963394165,1920.0024,1920.0023,1,1,0,1920.0024,1920.0023,1,1,0,1920.0024,1920.0023,1,1,0,1920.0024,1920.0023,1,1
16,2040.0027,,2040.0026,1,1,3.58081769943237,2040.0027,2040.0026,1,1,0,2040.0027,2040.0026,1,1,0,2040.0027,2040.0026,1,1,0,2040.0027,2040.0026,1,1
17,2160.0029,,2160.0028,1,1,3.58079767227173,2160.0029,2160.0028,1,1,0,2160.0029,2160.0028,1,1,0,2160.0029,2160.0028,1,1,0,2160.0029,2160.0028,1,1
18,2280.0055,,2280.0054,1,1,3.58082628250122,2280.0055,2280.0054,1,1,0,2280.0055,2280.0054,1,1,0,2280.0055,2280.0054,1,1,0,2280.0055,2280.0054,1,1
19,2400.0038,,2400.0037,1,1,3.58076429367065,2400.0038,2400.0037,1,1,0,2400.0038,2400.0037,1,1,0,2400.0038,2400.0037,1,1,0,2400.0038,2400.0037,1,1
20,2520.0044,,2520.0043,1,1,3.58079671859741,2520.0044,2520.0043,1,1,0,2520.0044,2520.0043,1,1,0,2520.0044,2520.0043,1,1,0,2520.0044,2520.0043,1,1
21,2640.0004,,2640.0003,1,1,3.58082723617554,2640.0004,2640.0003,1,1,0,2640.0004,2640.0003,1,1,0,2640.0004,2640.0003,1,1,0,2640.0004,2640.0003,1,1
22,2760.0003,,2760.0002,1,1,3.58087396621704,2760.0003,2760.0002,1,1,0,2760.0003,2760.0002,1,1,0,2760.0003,2760.0002,1,1,0,2760.0003,2760.0002,1,1
23,2880.001,,2880.0009,1,1,3.5808253288269,2880.001,2880.0009,1,1,0,2880.001,2880.0009,1,1,0,2880.001,2880.0009,1,1,0,2880.001,2880.0009,1,1
24,3000.0047,,3000.0046,1,1,3.58088827133179,3000.0047,3000.0046,1,1,0,3000.0047,3000.0046,1,1,0,3000.0047,3000.0046,1,1,0,3000.0047,3000.0046,1,1
25,3120.0006,,3120.0005,1,1,3.58091020584106,3120.0006,3120.0005,1,1,0,3120.0006,3120.0005,1,1,0,3120.0006,3120.0005,1,1,0,3120.0006,3120.0005,1,1
26,3240.0059,,3240.0058,1,1,3.58079767227173,3240.0059,3240.0058,1,1,0,3240.0059,3240.0058,1,1,0,3240.0059,3240.0058,1,1,0,3240.0059,3240.0058,1,1
27,3360.0006,,3360.0005,1,1,3.58085203170776,3360.0006,3360.0005,1,1,0,3360.0006,3360.0005,1,1,0,3360.0006,3360.0005,1,1,0,3360.0006,3360.0005,1,1
28,3480.0015,,3480.0014,1,1,3.58087587356567,3480.0015,3480.0014,1,1,0,3480.0015,3480.0014,1,1,0,3480.0015,3480.0014,1,1,0,3480.0015,3480.0014,1,1
29,3600.0048,,3600.0047,1,1,3.58093309402466,3600.0048,3600.0047,1,1,0,3600.0048,3600.0047,1,1,0,3600.0048,3600.0047,1,1,0,3600.0048,3600.0047,1,1
30,3600.0053,,3600.0052,1,1,3.58092546463013,3600.0053,3600.0052,1,1,0,3600.0053,3600.0052,1,1,0,3600.0053,3600.0052,1,1,0,3600.0053,3600.0052,1,1
31,3660.430364,,60.3365,1,2,4.20006227493286,3660.430364,60.3365,1,2,3.25995254516602,3660.430364,60.3365,1,2,0.06833777576685,3660.430364,60.3365,1,2,0,3660.430364,60.3365,1,2
32,3780.448456,,120.0011,1,3,4.24407529830933,3780.448456,120.0011,1,3,3.26004981994629,3780.448456,120.0011,1,3,0.176755264401436,3780.448456,120.0011,1,3,0,3780.448456,120.0011,1,3
33,3900.451856,,240.0045,1,3,4.27167463302612,3900.451856,240.0045,1,3,3.26008224487305,3900.451856,240.0045,1,3,0.285428613424301,3900.451856,240.0045,1,3,0,3900.451856,240.0045,1,3
