index,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,Voltage,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,Current,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,Charge_Capacity,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,Discharge_Capacity
26,3240.0022,3240.0022,1,1,3.56766891479492,3240.0022,3240.0022,1,1,0,3240.0022,3240.0022,1,1,0,3240.0022,3240.0022,1,1,0
27,3360.003,3360.003,1,1,3.56765556335449,3360.003,3360.003,1,1,0,3360.003,3360.003,1,1,0,3360.003,3360.003,1,1,0
28,3480.0028,3480.0028,1,1,3.56759166717529,3480.0028,3480.0028,1,1,0,3480.0028,3480.0028,1,1,0,3480.0028,3480.0028,1,1,0
29,3600.0013,3600.0013,1,1,3.56770515441895,3600.0013,3600.0013,1,1,0,3600.0013,3600.0013,1,1,0,3600.0013,3600.0013,1,1,0
30,3648.401988,48.3136,1,2,4.20004940032959,3648.401988,48.3136,1,2,3.25996398925781,3648.401988,48.3136,1,2,0.054389070719481,3648.401988,48.3136,1,2,1.26096896813088E-10
31,3768.42174,120.0029,1,3,4.2713041305542,3768.42174,120.0029,1,3,3.25988388061523,3768.42174,120.0029,1,3,0.16279773414135,3768.42174,120.0029,1,3,1.26096896813088E-10
32,3888.42094,240.0021,1,3,4.29479694366455,3888.42094,240.0021,1,3,3.25999069213867,3888.42094,240.0021,1,3,0.271454155445099,3888.42094,240.0021,1,3,1.26096896813088E-10
33,4008.41884,360,1,3,4.32469654083252,4008.41884,360,1,3,3.25993537902832,4008.41884,360,1,3,0.380124986171722,4008.41884,360,1,3,1.26096896813088E-10
34,4128.42164,480.0028,1,3,4.35217189788818,4128.42164,480.0028,1,3,3.2599048614502,4128.42164,480.0028,1,3,0.488795906305313,4128.42164,480.0028,1,3,1.26096896813088E-10
35,4248.42544,600.0066,1,3,4.37555694580078,4248.42544,600.0066,1,3,3.25998687744141,4248.42544,600.0066,1,3,0.597464799880981,4248.42544,600.0066,1,3,1.26096896813088E-10
36,4368.42344,720.0046,1,3,4.39799022674561,4368.42344,720.0046,1,3,3.2598876953125,4368.42344,720.0046,1,3,0.706120371818543,4368.42344,720.0046,1,3,1.26096896813088E-10
37,4488.42114,840.0023,1,3,4.40002346038818,4488.42114,840.0023,1,3,3.08862113952637,4488.42114,840.0023,1,3,0.812102854251862,4488.42114,840.0023,1,3,1.26096896813088E-10
38,4608.42554,960.0067,1,3,4.399977684021,4608.42554,960.0067,1,3,2.91140174865723,4608.42554,960.0067,1,3,0.912113547325134,4608.42554,960.0067,1,3,1.26096896813088E-10
